"Call Tree","Time (ms)","Level"
"<All threads>","830","1"
"<...> java.lang.Thread.run()","485","2"
"<14 calls> ProvingVCBenchmark.java:383 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.executePreChallengePhase()","142","3"
"ProverVCOrchestrator.java:136 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.computeTildeZ()","126","4"
"ProverVCOrchestrator.java:263 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.executeCompoundPreChallengePhase()","94","5"
"PossessionProver.java:93 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.executePreChallengePhase()","94","6"
"PossessionProver.java:105 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.computetildeZ()","94","7"
"PossessionProver.java:150 <...> java.util.logging.Logger.info(String)","86","8"
"PossessionProver.java:167 eu.prismacloud.primitives.zkpgs.store.ProofStore.retrieve(String)","8","8"
"ProofStore.java:94 eu.prismacloud.primitives.zkpgs.store.URN.createURN(String, String)","8","9"
"URN.java:161 eu.prismacloud.primitives.zkpgs.store.URN.<init>(NamespaceComponent, NamespaceComponent, boolean)","8","10"
"URN.java:39 eu.prismacloud.primitives.zkpgs.store.URNType.parseURNType(String)","8","11"
"URNType.java:708 eu.prismacloud.primitives.zkpgs.store.URNType.parseURNSuffix(String)","8","12"
"URNType.java:723 <...> java.lang.String.matches(String)","8","13"
"ProverVCOrchestrator.java:261","31","5"
"ProverVCOrchestrator.java:127 eu.prismacloud.primitives.zkpgs.signature.GSSignature.blind()","15","4"
"GSSignature.java:108 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","15","5"
"QRElement.java:15 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","15","6"
"QRElement.java:108 <...> java.math.BigInteger.modPow(BigInteger, BigInteger)","15","7"
"<15 calls> ProvingVCBenchmark.java:285 eu.prismacloud.primitives.zkpgs.util.FilePersistenceUtil.read(String)","132","3"
"FilePersistenceUtil.java:34 <...> java.io.ObjectInputStream.readObject()","132","4"
"<36 calls> Unsafe.java (native) eu.prismacloud.primitives.zkpgs.util.NamespaceComponent.<clinit>()","7","5"
"NamespaceComponent.java:19 <...> java.util.regex.Pattern.compile(String)","7","6"
"<14 calls> ProvingVCBenchmark.java:384 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.computeChallenge()","79","3"
"ProverVCOrchestrator.java:192 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.populateChallengeList()","59","4"
"ProverVCOrchestrator.java:204 eu.prismacloud.primitives.zkpgs.context.GSContext.computeChallengeContext()","59","5"
"GSContext.java:25 eu.prismacloud.primitives.zkpgs.context.GSContext.addToChallengeContext(List)","59","6"
"GSContext.java:31 eu.prismacloud.primitives.zkpgs.keys.ExtendedPublicKey.addToChallengeContext(List)","59","7"
"ExtendedPublicKey.java:148 eu.prismacloud.primitives.zkpgs.BaseRepresentation.addToChallengeContext(List)","59","8"
"BaseRepresentation.java:102 <...> java.lang.String.valueOf(Object)","59","9"
"ProverVCOrchestrator.java:195 eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeHash(List, int)","19","4"
"CryptoUtilsFacade.java:76 eu.prismacloud.primitives.zkpgs.util.GSUtils.computeHash(List, int)","19","5"
"GSUtils.java:594 <...> java.security.MessageDigest.update(byte[])","12","6"
"GSUtils.java:594 <...> java.lang.String.getBytes(Charset)","7","6"
"<14 calls> ProvingVCBenchmark.java:389 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.computeChallenge()","52","3"
"VerifierVCOrchestrator.java:278 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.populateChallengeList()","39","4"
