"Call Tree","Time (ms)","Level"
"eu.prismacloud.primitives.grs.bench.ProvingVCBenchmark.ProvingVerifyingBenchmark.compute-jmh-worker-1 Group: 'main' Native ID: 287330","529","1"
"<...> java.lang.Thread.run()","529","2"
"<15 calls> ProvingVCBenchmark.java:285 eu.prismacloud.primitives.zkpgs.util.FilePersistenceUtil.read(String)","137","3"
"FilePersistenceUtil.java:34 <...> java.io.ObjectInputStream.readObject()","137","4"
"<36 calls> Unsafe.java (native) eu.prismacloud.primitives.zkpgs.util.NamespaceComponent.<clinit>()","18","5"
"NamespaceComponent.java:19","18","6"
"<14 calls> ProvingVCBenchmark.java:383 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.executePreChallengePhase()","124","3"
"ProverVCOrchestrator.java:136 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.computeTildeZ()","93","4"
"ProverVCOrchestrator.java:263 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.executeCompoundPreChallengePhase()","92","5"
"PossessionProver.java:93 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.executePreChallengePhase()","92","6"
"PossessionProver.java:105 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.computetildeZ()","86","7"
"PossessionProver.java:150 <...> java.util.logging.Logger.info(String)","86","8"
"PossessionProver.java:104 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.createWitnessRandomness()","5","7"
"PossessionProver.java:124 eu.prismacloud.primitives.zkpgs.store.ProofStore.store(String, Object)","3","8"
"ProofStore.java:71 eu.prismacloud.primitives.zkpgs.store.URN.createURN(String, String)","3","9"
"URN.java:161 eu.prismacloud.primitives.zkpgs.store.URN.<init>(NamespaceComponent, NamespaceComponent, boolean)","3","10"
"URN.java:39 eu.prismacloud.primitives.zkpgs.store.URNType.parseURNType(String)","3","11"
"URNType.java:708 eu.prismacloud.primitives.zkpgs.store.URNType.parseURNSuffix(String)","3","12"
"URNType.java:723 <...> java.lang.String.matches(String)","3","13"
"PossessionProver.java:132 eu.prismacloud.primitives.zkpgs.util.BaseCollectionImpl.createIterator(BaseRepresentation$BASE)","1","8"
"BaseCollectionImpl.java:27 <...> java.lang.ClassLoader.loadClass(String)","1","9"
"ProverVCOrchestrator.java:261 <...> java.lang.ClassLoader.loadClass(String)","1","5"
"ProverVCOrchestrator.java:130 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.storeBlindedGS()","15","4"
"ProverVCOrchestrator.java:163 eu.prismacloud.primitives.zkpgs.store.ProofStore.store(String, Object)","15","5"
"ProofStore.java:71 eu.prismacloud.primitives.zkpgs.store.URN.createURN(String, String)","15","6"
"URN.java:161 eu.prismacloud.primitives.zkpgs.store.URN.<init>(NamespaceComponent, NamespaceComponent, boolean)","15","7"
"URN.java:39 eu.prismacloud.primitives.zkpgs.store.URNType.parseURNType(String)","15","8"
"URNType.java:708 eu.prismacloud.primitives.zkpgs.store.URNType.parseURNSuffix(String)","15","9"
"URNType.java:723 <...> java.lang.String.matches(String)","15","10"
"ProverVCOrchestrator.java:127 eu.prismacloud.primitives.zkpgs.signature.GSSignature.blind()","15","4"
"GSSignature.java:108 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","15","5"
"QRElement.java:15 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","15","6"
"QRElement.java:108 <...> java.math.BigInteger.modPow(BigInteger, BigInteger)","15","7"
"<14 calls> ProvingVCBenchmark.java:389 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.computeChallenge()","76","3"
"VerifierVCOrchestrator.java:280 eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeHash(List, int)","61","4"
"CryptoUtilsFacade.java:76 eu.prismacloud.primitives.zkpgs.util.GSUtils.computeHash(List, int)","61","5"
"GSUtils.java:594 <...> java.security.MessageDigest.update(byte[])","61","6"
"VerifierVCOrchestrator.java:278 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.populateChallengeList()","14","4"
"VerifierVCOrchestrator.java:194 eu.prismacloud.primitives.zkpgs.context.GSContext.computeChallengeContext()","14","5"
"GSContext.java:25 eu.prismacloud.primitives.zkpgs.context.GSContext.addToChallengeContext(List)","14","6"
"GSContext.java:31 eu.prismacloud.primitives.zkpgs.keys.ExtendedPublicKey.addToChallengeContext(List)","14","7"
"ExtendedPublicKey.java:148 eu.prismacloud.primitives.zkpgs.BaseRepresentation.addToChallengeContext(List)","14","8"
"BaseRepresentation.java:102 <...> java.lang.String.valueOf(Object)","14","9"
"<14 calls> ProvingVCBenchmark.java:384 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.computeChallenge()","71","3"
"ProverVCOrchestrator.java:192 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.populateChallengeList()","49","4"
"ProverVCOrchestrator.java:204 eu.prismacloud.primitives.zkpgs.context.GSContext.computeChallengeContext()","49","5"
"GSContext.java:25 eu.prismacloud.primitives.zkpgs.context.GSContext.addToChallengeContext(List)","49","6"
"GSContext.java:31 eu.prismacloud.primitives.zkpgs.keys.ExtendedPublicKey.addToChallengeContext(List)","49","7"
"ExtendedPublicKey.java:148 eu.prismacloud.primitives.zkpgs.BaseRepresentation.addToChallengeContext(List)","49","8"
"BaseRepresentation.java:102 <...> java.lang.String.valueOf(Object)","49","9"
"ProverVCOrchestrator.java:195 eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeHash(List, int)","22","4"
"CryptoUtilsFacade.java:76 eu.prismacloud.primitives.zkpgs.util.GSUtils.computeHash(List, int)","22","5"
"GSUtils.java:594 <...> java.lang.String.getBytes(Charset)","12","6"
"GSUtils.java:594 <...> java.security.MessageDigest.update(byte[])","10","6"
"<14 calls> ProvingVCBenchmark.java:388 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.executeVerification()","42","3"
"VerifierVCOrchestrator.java:309 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.executeVerification(BigInteger)","42","4"
"VerifierVCOrchestrator.java:161 eu.prismacloud.primitives.zkpgs.verifier.PossessionVerifier.executeCompoundVerification(BigInteger)","42","5"
"PossessionVerifier.java:157 eu.prismacloud.primitives.zkpgs.verifier.PossessionVerifier.executeVerification(BigInteger)","42","6"
"PossessionVerifier.java:119 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","18","7"
"QRElement.java:15 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","18","8"
"QRElement.java:108 <...> java.math.BigInteger.modPow(BigInteger, BigInteger)","18","9"
"PossessionVerifier.java:145 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","15","7"
"QRElement.java:15 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modPow(BigInteger)","15","8"
"QRElement.java:108 <...> java.math.BigInteger.modPow(BigInteger, BigInteger)","15","9"
"PossessionVerifier.java:140 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modInverse()","8","7"
"QRElement.java:15 eu.prismacloud.primitives.zkpgs.util.crypto.QRElement.modInverse()","8","8"
"QRElement.java:114 <...> java.math.BigInteger.modInverse(BigInteger)","8","9"
"<16 calls> ProverVCOrchestratorPerf.java:50 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.<init>(ExtendedPublicKey, IMessageGateway)","18","3"
"ProverVCOrchestrator.java:50","18","4"
"<15 calls> ProvingVCBenchmark.java:296 uk.ac.ncl.cascade.binding.VerifierVCOrchestrator.init()","16","3"
"VerifierVCOrchestrator.java:78 eu.prismacloud.primitives.zkpgs.store.URN.createZkpgsURN(String)","16","4"
"URN.java:177 eu.prismacloud.primitives.zkpgs.util.NamespaceComponent.fromString(String, NamespaceComponent$Type)","16","5"
"NamespaceComponent.java:48 eu.prismacloud.primitives.zkpgs.util.NamespaceComponent.validate(String, NamespaceComponent$Type)","16","6"
"NamespaceComponent.java:60 eu.prismacloud.primitives.zkpgs.util.NamespaceComponent.validateNID(String)","16","7"
"NamespaceComponent.java:67 <...> java.util.regex.Matcher.matches()","16","8"
"<14 calls> ProvingVCBenchmark.java:385 uk.ac.ncl.cascade.binding.ProverVCOrchestrator.executePostChallengePhase(BigInteger)","8","3"
"ProverVCOrchestrator.java:172 eu.prismacloud.primitives.zkpgs.prover.PossessionProver.executePostChallengePhase(BigInteger)","8","4"
"PossessionProver.java:216 <...> java.util.logging.Logger.info(String)","8","5"
"main Group: 'main' Native ID: 287262","367","1"
"<...> org.openjdk.jmh.runner.ForkedMain.main(String[])","331","2"
"<...> sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String)","25","2"
"<...> org.openjdk.jmh.runner.ForkedMain.<clinit>()","11","2"
