"URN","ClassName","Bitlength"
"VERTEX2","QRElement","1019"
"VERTEX2","BigInteger","25"
"VERTEX94","QRElement","1022"
"VERTEX94","BigInteger","25"
"VERTEX68","QRElement","1024"
"VERTEX68","BigInteger","25"
"VERTEX15","QRElement","1024"
"VERTEX15","BigInteger","25"
"VERTEX91","QRElement","1023"
"VERTEX91","BigInteger","25"
"VERTEX24","QRElement","1024"
"VERTEX24","BigInteger","25"
"VERTEX40","QRElement","1022"
"VERTEX40","BigInteger","25"
"VERTEX12","QRElement","1022"
"VERTEX12","BigInteger","25"
"VERTEX63","QRElement","1023"
"VERTEX63","BigInteger","25"
"VERTEX42","QRElement","1022"
"VERTEX42","BigInteger","25"
"VERTEX5","QRElement","1023"
"VERTEX5","BigInteger","25"
"VERTEX66","QRElement","1020"
"VERTEX66","BigInteger","26"
"VERTEX30","QRElement","1023"
"VERTEX30","BigInteger","25"
"VERTEX1","QRElement","1024"
"VERTEX1","BigInteger","25"
"VERTEX70","QRElement","1024"
"VERTEX70","BigInteger","25"
"VERTEX19","QRElement","1022"
"VERTEX19","BigInteger","25"
"VERTEX26","QRElement","1024"
"VERTEX26","BigInteger","26"
"VERTEX73","QRElement","1024"
"VERTEX73","BigInteger","25"
"VERTEX27","QRElement","1023"
"VERTEX27","BigInteger","25"
"VERTEX36","QRElement","1024"
"VERTEX36","BigInteger","26"
"VERTEX47","QRElement","1021"
"VERTEX47","BigInteger","26"
"VERTEX28","QRElement","1023"
"VERTEX28","BigInteger","25"
"VERTEX60","QRElement","1020"
"VERTEX60","BigInteger","25"
"VERTEX14","QRElement","1023"
"VERTEX14","BigInteger","25"
"VERTEX87","QRElement","1024"
"VERTEX87","BigInteger","25"
"VERTEX55","QRElement","1023"
"VERTEX55","BigInteger","25"
"VERTEX43","QRElement","1022"
"VERTEX43","BigInteger","25"
"VERTEX32","QRElement","1012"
"VERTEX32","BigInteger","25"
"VERTEX50","QRElement","1021"
"VERTEX50","BigInteger","25"
"VERTEX67","QRElement","1024"
"VERTEX67","BigInteger","25"
"VERTEX95","QRElement","1024"
"VERTEX95","BigInteger","25"
"VERTEX69","QRElement","1024"
"VERTEX69","BigInteger","25"
"VERTEX93","QRElement","1023"
"VERTEX93","BigInteger","25"
"VERTEX72","QRElement","1023"
"VERTEX72","BigInteger","26"
"VERTEX77","QRElement","1024"
"VERTEX77","BigInteger","26"
"VERTEX37","QRElement","1023"
"VERTEX37","BigInteger","25"
"VERTEX92","QRElement","1023"
"VERTEX92","BigInteger","25"
"VERTEX4","QRElement","1024"
"VERTEX4","BigInteger","25"
"VERTEX81","QRElement","1024"
"VERTEX81","BigInteger","25"
"VERTEX29","QRElement","1020"
"VERTEX29","BigInteger","25"
"VERTEX25","QRElement","1023"
"VERTEX25","BigInteger","25"
"VERTEX31","QRElement","1021"
"VERTEX31","BigInteger","25"
"VERTEX48","QRElement","1021"
"VERTEX48","BigInteger","25"
"VERTEX23","QRElement","1022"
"VERTEX23","BigInteger","26"
"VERTEX9","QRElement","1022"
