"URN","ClassName","Bitlength"
"VERTEX95","QRElement","2046"
"VERTEX95","BigInteger","25"
"VERTEX26","QRElement","2046"
"VERTEX26","BigInteger","25"
"VERTEX3","QRElement","2046"
"VERTEX3","BigInteger","25"
"VERTEX59","QRElement","2046"
"VERTEX59","BigInteger","25"
"VERTEX43","QRElement","2047"
"VERTEX43","BigInteger","25"
"VERTEX51","QRElement","2042"
"VERTEX51","BigInteger","25"
"VERTEX28","QRElement","2046"
"VERTEX28","BigInteger","25"
"VERTEX5","QRElement","2047"
"VERTEX5","BigInteger","25"
"VERTEX79","QRElement","2044"
"VERTEX79","BigInteger","25"
"VERTEX66","QRElement","2045"
"VERTEX66","BigInteger","25"
"VERTEX72","QRElement","2046"
"VERTEX72","BigInteger","25"
"VERTEX10","QRElement","2047"
"VERTEX10","BigInteger","26"
"VERTEX58","QRElement","2046"
"VERTEX58","BigInteger","25"
"VERTEX60","QRElement","2045"
"VERTEX60","BigInteger","25"
"VERTEX55","QRElement","2045"
"VERTEX55","BigInteger","25"
"VERTEX89","QRElement","2047"
"VERTEX89","BigInteger","25"
"VERTEX87","QRElement","2047"
"VERTEX87","BigInteger","26"
"VERTEX84","QRElement","2046"
"VERTEX84","BigInteger","25"
"VERTEX45","QRElement","2046"
"VERTEX45","BigInteger","25"
"VERTEX12","QRElement","2047"
"VERTEX12","BigInteger","26"
"VERTEX20","QRElement","2047"
"VERTEX20","BigInteger","26"
"VERTEX7","QRElement","2044"
"VERTEX7","BigInteger","25"
"VERTEX71","QRElement","2044"
"VERTEX71","BigInteger","25"
"VERTEX22","QRElement","2046"
"VERTEX22","BigInteger","25"
"VERTEX68","QRElement","2047"
"VERTEX68","BigInteger","25"
"VERTEX37","QRElement","2044"
"VERTEX37","BigInteger","25"
"VERTEX24","QRElement","2047"
"VERTEX24","BigInteger","25"
"VERTEX64","QRElement","2045"
"VERTEX64","BigInteger","25"
"VERTEX39","QRElement","2046"
"VERTEX39","BigInteger","25"
"VERTEX82","QRElement","2046"
"VERTEX82","BigInteger","25"
"VERTEX80","QRElement","2046"
"VERTEX80","BigInteger","25"
"VERTEX77","QRElement","2047"
"VERTEX77","BigInteger","25"
"VERTEX62","QRElement","2045"
"VERTEX62","BigInteger","25"
"VERTEX52","QRElement","2046"
"VERTEX52","BigInteger","26"
"VERTEX34","QRElement","2044"
"VERTEX34","BigInteger","26"
"VERTEX36","QRElement","2047"
"VERTEX36","BigInteger","25"
"VERTEX25","QRElement","2040"
"VERTEX25","BigInteger","25"
"VERTEX41","QRElement","2046"
"VERTEX41","BigInteger","25"
"VERTEX67","QRElement","2046"
"VERTEX67","BigInteger","25"
"VERTEX99","QRElement","2044"
"VERTEX99","BigInteger","25"
"VERTEX19","QRElement","2046"
"VERTEX19","BigInteger","25"
"VERTEX93","QRElement","2046"
"VERTEX93","BigInteger","25"
"VERTEX6","QRElement","2044"
"VERTEX6","BigInteger","25"
"VERTEX85","QRElement","2045"
"VERTEX85","BigInteger","26"
"VERTEX18","QRElement","2045"
"VERTEX18","BigInteger","25"
"VERTEX73","QRElement","2046"
"VERTEX73","BigInteger","25"
"VERTEX88","QRElement","2045"
"VERTEX88","BigInteger","25"
"VERTEX32","QRElement","2046"
"VERTEX32","BigInteger","25"
"VERTEX49","QRElement","2046"
"VERTEX49","BigInteger","25"
"VERTEX13","QRElement","2046"
"VERTEX13","BigInteger","25"
"EDGE268","QRElement","2042"
"EDGE268","BigInteger","33"
"EDGE193","QRElement","2045"
"EDGE193","BigInteger","33"
"EDGE383","QRElement","2047"
"EDGE383","BigInteger","33"
"EDGE170","QRElement","2045"
"EDGE170","BigInteger","33"
"EDGE310","QRElement","2045"
"EDGE310","BigInteger","33"
"EDGE186","QRElement","2045"
"EDGE186","BigInteger","33"
"EDGE256","QRElement","2047"
"EDGE256","BigInteger","33"
"EDGE215","QRElement","2041"
"EDGE215","BigInteger","33"
"EDGE356","QRElement","2041"
"EDGE356","BigInteger","33"
"EDGE156","QRElement","2043"
"EDGE156","BigInteger","33"
"EDGE257","QRElement","2046"
"EDGE257","BigInteger","33"
"EDGE191","QRElement","2044"
"EDGE191","BigInteger","33"
"EDGE273","QRElement","2045"
"EDGE273","BigInteger","33"
"EDGE267","QRElement","2046"
"EDGE267","BigInteger","33"
"EDGE179","QRElement","2044"
"EDGE179","BigInteger","33"
"EDGE166","QRElement","2046"
"EDGE166","BigInteger","33"
