"URN","ClassName","Bitlength"
"VERTEX14","QRElement","1023"
"VERTEX14","BigInteger","25"
"VERTEX84","QRElement","1023"
"VERTEX84","BigInteger","25"
"VERTEX93","QRElement","1023"
"VERTEX93","BigInteger","25"
"VERTEX67","QRElement","1024"
"VERTEX67","BigInteger","25"
"VERTEX76","QRElement","1017"
"VERTEX76","BigInteger","26"
"VERTEX38","QRElement","1019"
"VERTEX38","BigInteger","26"
"VERTEX69","QRElement","1024"
"VERTEX69","BigInteger","26"
"VERTEX91","QRElement","1023"
"VERTEX91","BigInteger","26"
"VERTEX97","QRElement","1024"
"VERTEX97","BigInteger","26"
"VERTEX50","QRElement","1021"
"VERTEX50","BigInteger","25"
"VERTEX77","QRElement","1024"
"VERTEX77","BigInteger","25"
"VERTEX32","QRElement","1012"
"VERTEX32","BigInteger","25"
"VERTEX28","QRElement","1023"
"VERTEX28","BigInteger","25"
"VERTEX23","QRElement","1022"
"VERTEX23","BigInteger","25"
"VERTEX34","QRElement","1024"
"VERTEX34","BigInteger","25"
"VERTEX36","QRElement","1024"
"VERTEX36","BigInteger","25"
"VERTEX95","QRElement","1024"
"VERTEX95","BigInteger","17"
"VERTEX51","QRElement","1024"
"VERTEX51","BigInteger","25"
"VERTEX57","QRElement","1024"
"VERTEX57","BigInteger","25"
"VERTEX16","QRElement","1024"
"VERTEX16","BigInteger","26"
"VERTEX68","QRElement","1024"
"VERTEX68","BigInteger","25"
"VERTEX27","QRElement","1023"
"VERTEX27","BigInteger","26"
"EDGE346","QRElement","1024"
"EDGE346","BigInteger","33"
"EDGE154","QRElement","1021"
"EDGE154","BigInteger","33"
"EDGE382","QRElement","1023"
"EDGE382","BigInteger","33"
"EDGE235","QRElement","1022"
"EDGE235","BigInteger","33"
"EDGE336","QRElement","1019"
"EDGE336","BigInteger","33"
"EDGE248","QRElement","1021"
"EDGE248","BigInteger","33"
"EDGE396","QRElement","1020"
"EDGE396","BigInteger","33"
"EDGE391","QRElement","1017"
"EDGE391","BigInteger","33"
"EDGE147","QRElement","1023"
"EDGE147","BigInteger","33"
"EDGE242","QRElement","1023"
"EDGE242","BigInteger","33"
"EDGE245","QRElement","1023"
"EDGE245","BigInteger","33"
"EDGE196","QRElement","1022"
"EDGE196","BigInteger","33"
"EDGE310","QRElement","1023"
"EDGE310","BigInteger","33"
"EDGE119","QRElement","1023"
"EDGE119","BigInteger","33"
"EDGE113","QRElement","1022"
"EDGE113","BigInteger","33"
"EDGE303","QRElement","1023"
"EDGE303","BigInteger","33"
"EDGE193","QRElement","1023"
"EDGE193","BigInteger","33"
"EDGE120","QRElement","1018"
"EDGE120","BigInteger","33"
"EDGE358","QRElement","1024"
"EDGE358","BigInteger","33"
"EDGE354","QRElement","1021"
"EDGE354","BigInteger","33"
"EDGE258","QRElement","1021"
"EDGE258","BigInteger","33"
"URN:proofsignature.A","QRElement","1024"
"URN:P_2.hatd","BigInteger","1022"
"URN:P_2.cPrime","BigInteger","256"
"URN:proofsignature.vPrimePrime","BigInteger","2724"
"URN:proofsignature.e","BigInteger","597"
"VERTEX14","QRElement","1023"
"VERTEX14","BigInteger","25"
"VERTEX84","QRElement","1023"
"VERTEX84","BigInteger","25"
"VERTEX93","QRElement","1023"
"VERTEX93","BigInteger","25"
"VERTEX67","QRElement","1024"
"VERTEX67","BigInteger","25"
"VERTEX76","QRElement","1017"
"VERTEX76","BigInteger","26"
"VERTEX38","QRElement","1019"
"VERTEX38","BigInteger","26"
"VERTEX69","QRElement","1024"
"VERTEX69","BigInteger","26"
"VERTEX91","QRElement","1023"
"VERTEX91","BigInteger","26"
"VERTEX97","QRElement","1024"
"VERTEX97","BigInteger","26"
"VERTEX50","QRElement","1021"
"VERTEX50","BigInteger","25"
"VERTEX77","QRElement","1024"
"VERTEX77","BigInteger","25"
"VERTEX32","QRElement","1012"
"VERTEX32","BigInteger","25"
"VERTEX28","QRElement","1023"
"VERTEX28","BigInteger","25"
"VERTEX23","QRElement","1022"
"VERTEX23","BigInteger","25"
"VERTEX34","QRElement","1024"
"VERTEX34","BigInteger","25"
"VERTEX36","QRElement","1024"
"VERTEX36","BigInteger","25"
"VERTEX95","QRElement","1024"
"VERTEX95","BigInteger","17"
"VERTEX51","QRElement","1024"
"VERTEX51","BigInteger","25"
"VERTEX57","QRElement","1024"
"VERTEX57","BigInteger","25"
"VERTEX16","QRElement","1024"
"VERTEX16","BigInteger","26"
"VERTEX68","QRElement","1024"
"VERTEX68","BigInteger","25"
"VERTEX27","QRElement","1023"
"VERTEX27","BigInteger","26"
"EDGE346","QRElement","1024"
"EDGE346","BigInteger","33"
"EDGE154","QRElement","1021"
"EDGE154","BigInteger","33"
"EDGE382","QRElement","1023"
"EDGE382","BigInteger","33"
"EDGE235","QRElement","1022"
"EDGE235","BigInteger","33"
"EDGE336","QRElement","1019"
"EDGE336","BigInteger","33"
"EDGE248","QRElement","1021"
"EDGE248","BigInteger","33"
"EDGE396","QRElement","1020"
"EDGE396","BigInteger","33"
"EDGE391","QRElement","1017"
"EDGE391","BigInteger","33"
"EDGE147","QRElement","1023"
"EDGE147","BigInteger","33"
"EDGE242","QRElement","1023"
"EDGE242","BigInteger","33"
"EDGE245","QRElement","1023"
"EDGE245","BigInteger","33"
"EDGE196","QRElement","1022"
"EDGE196","BigInteger","33"
"EDGE310","QRElement","1023"
"EDGE310","BigInteger","33"
"EDGE119","QRElement","1023"
"EDGE119","BigInteger","33"
"EDGE113","QRElement","1022"
"EDGE113","BigInteger","33"
"EDGE303","QRElement","1023"
"EDGE303","BigInteger","33"
"EDGE193","QRElement","1023"
"EDGE193","BigInteger","33"
"EDGE120","QRElement","1018"
"EDGE120","BigInteger","33"
"EDGE358","QRElement","1024"
"EDGE358","BigInteger","33"
"EDGE354","QRElement","1021"
"EDGE354","BigInteger","33"
"EDGE258","QRElement","1021"
"EDGE258","BigInteger","33"
