"URN","ClassName","Bitlength"
"VERTEX56","QRElement","2046"
"VERTEX56","BigInteger","25"
"VERTEX74","QRElement","2045"
"VERTEX74","BigInteger","25"
"VERTEX40","QRElement","2042"
"VERTEX40","BigInteger","25"
"VERTEX52","QRElement","2046"
"VERTEX52","BigInteger","25"
"VERTEX82","QRElement","2046"
"VERTEX82","BigInteger","26"
"VERTEX33","QRElement","2045"
"VERTEX33","BigInteger","26"
"VERTEX61","QRElement","2047"
"VERTEX61","BigInteger","26"
"VERTEX29","QRElement","2046"
"VERTEX29","BigInteger","26"
"VERTEX28","QRElement","2046"
"VERTEX28","BigInteger","26"
"VERTEX76","QRElement","2043"
"VERTEX76","BigInteger","25"
"VERTEX65","QRElement","2046"
"VERTEX65","BigInteger","25"
"VERTEX73","QRElement","2046"
"VERTEX73","BigInteger","25"
"VERTEX84","QRElement","2046"
"VERTEX84","BigInteger","25"
"VERTEX11","QRElement","2045"
"VERTEX11","BigInteger","25"
"VERTEX19","QRElement","2046"
"VERTEX19","BigInteger","25"
"VERTEX18","QRElement","2045"
"VERTEX18","BigInteger","25"
"VERTEX1","QRElement","2046"
"VERTEX1","BigInteger","17"
"VERTEX35","QRElement","2043"
"VERTEX35","BigInteger","25"
"VERTEX94","QRElement","2046"
"VERTEX94","BigInteger","25"
"VERTEX97","QRElement","2042"
"VERTEX97","BigInteger","26"
"VERTEX89","QRElement","2047"
"VERTEX89","BigInteger","25"
"VERTEX86","QRElement","2047"
"VERTEX86","BigInteger","26"
"EDGE265","QRElement","2045"
"EDGE265","BigInteger","33"
"EDGE119","QRElement","2046"
"EDGE119","BigInteger","33"
"EDGE165","QRElement","2047"
"EDGE165","BigInteger","33"
"EDGE370","QRElement","2047"
"EDGE370","BigInteger","33"
"EDGE145","QRElement","2046"
"EDGE145","BigInteger","33"
"EDGE238","QRElement","2047"
"EDGE238","BigInteger","33"
"EDGE224","QRElement","2047"
"EDGE224","BigInteger","33"
"EDGE160","QRElement","2046"
"EDGE160","BigInteger","33"
"EDGE170","QRElement","2045"
"EDGE170","BigInteger","33"
"EDGE254","QRElement","2046"
"EDGE254","BigInteger","33"
"EDGE286","QRElement","2042"
"EDGE286","BigInteger","33"
"EDGE223","QRElement","2046"
"EDGE223","BigInteger","33"
"EDGE116","QRElement","2046"
"EDGE116","BigInteger","33"
"EDGE214","QRElement","2046"
"EDGE214","BigInteger","33"
"EDGE284","QRElement","2045"
"EDGE284","BigInteger","33"
"EDGE375","QRElement","2041"
"EDGE375","BigInteger","33"
"EDGE379","QRElement","2046"
"EDGE379","BigInteger","33"
"EDGE151","QRElement","2045"
"EDGE151","BigInteger","33"
"EDGE310","QRElement","2045"
"EDGE310","BigInteger","33"
"EDGE173","QRElement","2047"
"EDGE173","BigInteger","33"
"EDGE326","QRElement","2045"
"EDGE326","BigInteger","33"
"URN:proofsignature.A","QRElement","2046"
"URN:P_2.hatd","BigInteger","2044"
"URN:P_2.cPrime","BigInteger","256"
"URN:proofsignature.vPrimePrime","BigInteger","2724"
"URN:proofsignature.e","BigInteger","597"
"VERTEX56","QRElement","2046"
"VERTEX56","BigInteger","25"
"VERTEX74","QRElement","2045"
"VERTEX74","BigInteger","25"
"VERTEX40","QRElement","2042"
"VERTEX40","BigInteger","25"
"VERTEX52","QRElement","2046"
"VERTEX52","BigInteger","25"
"VERTEX82","QRElement","2046"
"VERTEX82","BigInteger","26"
"VERTEX33","QRElement","2045"
"VERTEX33","BigInteger","26"
"VERTEX61","QRElement","2047"
"VERTEX61","BigInteger","26"
"VERTEX29","QRElement","2046"
"VERTEX29","BigInteger","26"
"VERTEX28","QRElement","2046"
"VERTEX28","BigInteger","26"
"VERTEX76","QRElement","2043"
"VERTEX76","BigInteger","25"
"VERTEX65","QRElement","2046"
"VERTEX65","BigInteger","25"
"VERTEX73","QRElement","2046"
"VERTEX73","BigInteger","25"
"VERTEX84","QRElement","2046"
"VERTEX84","BigInteger","25"
"VERTEX11","QRElement","2045"
"VERTEX11","BigInteger","25"
"VERTEX19","QRElement","2046"
