"Experiment","CPU Time(Secs)","Method Name"
"test.10.er","9.817","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.10.er","9.006","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.10.er","8.996","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.10.er","8.996","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.10.er","8.816","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.10.er","0.801","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.10.er","0.801","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.10.er","0.771","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.10.er","0.771","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.10.er","0.761","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.10.er","0.220","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.10.er","0.030","eu.prismacloud.primitives.zkpgs.util.GSUtils.createRandomNumber(java.math.BigInteger, java.math.BigInteger)"
"test.10.er","0.010","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFactory.getInstance(java.lang.String)"
"test.11.er","9.917","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.11.er","8.706","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.11.er","8.696","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.11.er","8.696","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.11.er","8.496","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.11.er","1.191","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.11.er","1.191","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.11.er","1.151","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.11.er","1.151","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
