"Method","Time (ms)","Own Time (ms)"
"org.openjdk.jmh.runner.ForkedMain.main(String[]) ForkedMain.java","323","0"
"java.lang.reflect.Method.invoke(Object, Object[]) Method.java","173","0"
"sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[]) DelegatingMethodAccessorImpl.java","173","0"
"sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[]) NativeMethodAccessorImpl.java","173","0"
"sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[]) NativeMethodAccessorImpl.java (native)","173","0"
"org.openjdk.jmh.runner.link.BinaryLinkClient.<init>(String, int) BinaryLinkClient.java","146","0"
"eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams) SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java","118","0"
"eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType) SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java","118","0"
"eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole) SetupEncodingBenchmark.java","118","0"
"java.lang.Thread.run() Thread.java","118","0"
"java.math.BigInteger.nextProbablePrime() BigInteger.java","118","0"
"java.math.BigInteger.passesMillerRabin(int, Random) BigInteger.java","118","0"
"java.math.BigInteger.primeToCertainty(int, Random) BigInteger.java","118","0"
"java.util.concurrent.Executors$RunnableAdapter.call() Executors.java","118","0"
"java.util.concurrent.FutureTask.run() FutureTask.java","118","0"
"java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","118","0"
"java.util.concurrent.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","118","0"
"org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call() BenchmarkHandler.java","118","0"
"org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call() BenchmarkHandler.java","118","0"
"java.lang.ClassLoader.loadClass(String, boolean) ClassLoader.java","113","8"
"java.lang.ClassLoader.loadClass(String) ClassLoader.java","113","0"
"sun.misc.Launcher$AppClassLoader.loadClass(String, boolean) Launcher.java","113","0"
"org.openjdk.jmh.runner.ForkedRunner.run() ForkedRunner.java","108","0"
"java.math.BigInteger.modPow(BigInteger, BigInteger) BigInteger.java","101","0"
"java.math.BigInteger.oddModPow(BigInteger, BigInteger) BigInteger.java","96","29"
"java.io.ObjectInputStream.<clinit>() ObjectInputStream.java","88","0"
"java.security.AccessController.doPrivileged(PrivilegedAction) AccessController.java (native)","87","15"
