"Call Tree","Time (ms)","Level"
"<All threads>","1013","1"
"java.lang.Thread.run()","658","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","658","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","658","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","658","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","658","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","658","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","658","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","658","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","658","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","658","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","658","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","658","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams)","658","14"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:368 eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType)","658","15"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:412 eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole)","658","16"
"SetupEncodingBenchmark.java:128 java.math.BigInteger.nextProbablePrime()","655","17"
"BigInteger.java:820 java.math.BigInteger.primeToCertainty(int, Random)","652","18"
"BigInteger.java:876 java.math.BigInteger.passesMillerRabin(int, Random)","652","19"
"BigInteger.java:1036 java.math.BigInteger.modPow(BigInteger, BigInteger)","575","20"
"BigInteger.java:2603 java.math.BigInteger.oddModPow(BigInteger, BigInteger)","553","21"
"BigInteger.java:2830 java.math.BigInteger.leftShift(int[], int, int)","178","22"
"BigInteger.java:2471","117","23"
"BigInteger.java:2460 java.math.BigInteger.bitLengthForInt(int)","23","23"
"BigInteger.java:2450","23","24"
"BigInteger.java:2469","19","23"
"BigInteger.java:2470","11","23"
"BigInteger.java:2467","6","23"
"BigInteger.java:2838 java.math.MutableBigInteger.divide(MutableBigInteger, MutableBigInteger)","71","22"
"MutableBigInteger.java:1147 java.math.MutableBigInteger.divide(MutableBigInteger, MutableBigInteger, boolean)","71","23"
"MutableBigInteger.java:1153 java.math.MutableBigInteger.divideKnuth(MutableBigInteger, MutableBigInteger, boolean)","63","24"
"MutableBigInteger.java:1203 java.math.MutableBigInteger.divideOneWord(int, MutableBigInteger)","56","25"
"MutableBigInteger.java:1122","31","26"
"MutableBigInteger.java:1129","18","26"
"MutableBigInteger.java:1123","6","26"
"MutableBigInteger.java:1207 java.math.MutableBigInteger.<init>(int)","7","25"
"MutableBigInteger.java:112","7","26"
"MutableBigInteger.java:1153","7","24"
"BigInteger.java:2949 java.math.BigInteger.montReduce(int[], int[], int, int)","47","22"
"BigInteger.java:2967","25","23"
"BigInteger.java:2975 java.math.BigInteger.intArrayCmpToLen(int[], int[], int)","11","23"
"BigInteger.java:2987","11","24"
"BigInteger.java:2969","9","23"
"BigInteger.java:2801","31","22"
"BigInteger.java:2946","29","22"
"BigInteger.java:2835 java.math.MutableBigInteger.normalize()","29","22"
"MutableBigInteger.java:403","14","23"
"MutableBigInteger.java:398","6","23"
"MutableBigInteger.java:392","4","23"
"MutableBigInteger.java:386","3","23"
"BigInteger.java:2800","28","22"
"BigInteger.java:2928 java.math.BigInteger.montgomeryMultiply(int[], int[], int[], int, long, int[])","22","22"
"BigInteger.java:2655 java.math.BigInteger.implMontgomeryMultiplyChecks(int[], int[], int[], int, int[])","22","23"
"BigInteger.java:2687","15","24"
"BigInteger.java:2693","6","24"
"BigInteger.java:2857 java.math.BigInteger.montgomeryMultiply(int[], int[], int[], int, long, int[])","19","22"
"BigInteger.java:2661 java.math.BigInteger.materialize(int[], int)","19","23"
"BigInteger.java:2699","19","24"
"BigInteger.java:2833","15","22"
"BigInteger.java:2827","15","22"
"BigInteger.java:2834 java.math.MutableBigInteger.<init>(int[])","15","22"
"MutableBigInteger.java:124","15","23"
"BigInteger.java:2822","11","22"
"BigInteger.java:2833 java.math.MutableBigInteger.<init>(int[])","11","22"
"MutableBigInteger.java:121","11","23"
"BigInteger.java:2810","7","22"
"BigInteger.java:2808 java.math.BigInteger.bitLength(int[], int)","7","22"
"BigInteger.java:2513","7","23"
"BigInteger.java:2830 java.math.MutableBigInteger.inverseMod64(long)","4","22"
"MutableBigInteger.java:2072","4","23"
"BigInteger.java:2790 java.lang.Object.clone()","2","22"
"BigInteger.java:2940 java.math.BigInteger.montgomerySquare(int[], int[], int, long, int[])","2","22"
"BigInteger.java:2672 java.math.BigInteger.implMontgomerySquare(int[], int[], int, long, int[])","2","23"
"BigInteger.java:2713","2","24"
"BigInteger.java:2586 java.math.BigInteger.equals(Object)","11","21"
"BigInteger.java:3728","11","22"
"BigInteger.java:2589 java.math.BigInteger.equals(Object)","7","21"
"BigInteger.java:3718","7","22"
"BigInteger.java:2599 java.math.BigInteger.compareTo(BigInteger)","1","21"
"BigInteger.java:3623 java.math.BigInteger.compareMagnitude(BigInteger)","1","22"
"BigInteger.java:3654","1","23"
"BigInteger.java:1032 java.math.BigInteger.<init>(int, Random)","34","20"
"BigInteger.java:623 java.math.BigInteger.randomBits(int, Random)","34","21"
"BigInteger.java:634","18","22"
"BigInteger.java:634 java.util.Random.nextBytes(byte[])","15","22"
"Random.java:229 java.util.concurrent.ThreadLocalRandom.nextInt()","7","23"
"ThreadLocalRandom.java:337 java.util.concurrent.ThreadLocalRandom.mix32(long)","7","24"
"ThreadLocalRandom.java:181","7","25"
"Random.java:232","7","23"
"BigInteger.java:1032 java.math.BigInteger.bitLength()","29","20"
"BigInteger.java:3524","29","21"
"BigInteger.java:1037 java.math.BigInteger.equals(Object)","7","20"
"BigInteger.java:3721","7","21"
"BigInteger.java:1033 java.math.BigInteger.<init>(int, Random)","5","20"
"BigInteger.java:623","5","21"
"BigInteger.java:800 java.math.BigInteger.testBit(int)","2","18"
"BigInteger.java:3406","2","19"
"SetupEncodingBenchmark.java:128","2","17"
"org.openjdk.jmh.runner.ForkedMain.main(String[])","331","2"
"ForkedMain.java:72 org.openjdk.jmh.runner.link.BinaryLinkClient.<init>(String, int)","153","3"
"BinaryLinkClient.java:74 java.io.ObjectInputStream.<clinit>()","101","4"
"ObjectInputStream.java:3920 java.lang.invoke.MethodHandleNatives.linkMethodHandleConstant(Class, int, Class, String, Object)","50","5"
"MethodHandleNatives.java:477 java.lang.invoke.MethodHandles$Lookup.linkMethodHandleConstant(byte, Class, String, Object)","43","6"
"MethodHandles.java:1751 java.lang.invoke.MethodHandles$Lookup.getDirectMethodForConstant(byte, Class, MemberName)","43","7"
"MethodHandles.java:1802 java.lang.invoke.MethodHandles$Lookup.getDirectMethodNoSecurityManager(byte, Class, MemberName, Class)","43","8"
"MethodHandles.java:1617 java.lang.invoke.MethodHandles$Lookup.getDirectMethodCommon(byte, Class, MemberName, boolean, boolean, Class)","43","9"
"MethodHandles.java:1660 java.lang.invoke.DirectMethodHandle.make(byte, Class, MemberName)","43","10"
"DirectMethodHandle.java:89 java.lang.invoke.DirectMethodHandle.preparedLambdaForm(MemberName)","43","11"
"DirectMethodHandle.java:183 java.lang.invoke.DirectMethodHandle.preparedLambdaForm(MethodType, int)","38","12"
"DirectMethodHandle.java:194 java.lang.invoke.DirectMethodHandle.makePreparedLambdaForm(MethodType, int)","38","13"
"DirectMethodHandle.java:231 java.lang.invoke.LambdaForm.<clinit>()","32","14"
"LambdaForm.java:1833 java.lang.invoke.LambdaForm.createIdentityForms()","32","15"
"LambdaForm.java:1778 java.lang.invoke.SimpleMethodHandle.make(MethodType, LambdaForm)","24","16"
"SimpleMethodHandle.java:41 java.lang.invoke.SimpleMethodHandle.<init>(MethodType, LambdaForm)","24","17"
"SimpleMethodHandle.java:37 java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm)","24","18"
"BoundMethodHandle.java:58 java.lang.invoke.MethodHandle.<init>(MethodType, LambdaForm)","24","19"
"MethodHandle.java:461 java.lang.invoke.LambdaForm.prepare()","24","20"
"LambdaForm.java:635 java.lang.invoke.LambdaForm.compileToBytecode()","24","21"
"LambdaForm.java:654 java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode(LambdaForm, MethodType)","24","22"
"InvokerBytecodeGenerator.java:618 java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCodeBytes()","24","23"
"InvokerBytecodeGenerator.java:724 java.lang.invoke.InvokerBytecodeGenerator.classFileEpilogue()","24","24"
"InvokerBytecodeGenerator.java:319 jdk.internal.org.objectweb.asm.MethodWriter.visitMaxs(int, int)","24","25"
"MethodWriter.java:1472 jdk.internal.org.objectweb.asm.Frame.initInputFrame(ClassWriter, int, Type[], int)","24","26"
"Frame.java:854 jdk.internal.org.objectweb.asm.Frame.type(ClassWriter, String)","24","27"
"Frame.java:674 jdk.internal.org.objectweb.asm.ClassWriter.addType(String)","24","28"
"ClassWriter.java:1610 jdk.internal.org.objectweb.asm.ClassWriter.addType(Item)","24","29"
"ClassWriter.java:1650 jdk.internal.org.objectweb.asm.ClassWriter.put(Item)","24","30"
"ClassWriter.java:1756","24","31"
"LambdaForm.java:1778","7","16"
"DirectMethodHandle.java:240 java.lang.invoke.LambdaForm$Name.<init>(LambdaForm$NamedFunction, Object[])","6","14"
