"Call Tree","Time (ms)","Level"
"eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding-jmh-worker-1 Group: 'main' Native ID: 2744740","638","1"
"java.lang.Thread.run()","638","2"
"Thread.java:748 java.util.concurrent.ThreadPoolExecutor$Worker.run()","638","3"
"ThreadPoolExecutor.java:624 java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker)","638","4"
"ThreadPoolExecutor.java:1149 java.util.concurrent.FutureTask.run()","638","5"
"FutureTask.java:266 java.util.concurrent.Executors$RunnableAdapter.call()","638","6"
"Executors.java:511 java.util.concurrent.FutureTask.run()","638","7"
"FutureTask.java:266 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","638","8"
"BenchmarkHandler.java:437 org.openjdk.jmh.runner.BenchmarkHandler$BenchmarkTask.call()","638","9"
"BenchmarkHandler.java:453 java.lang.reflect.Method.invoke(Object, Object[])","638","10"
"Method.java:498 sun.reflect.DelegatingMethodAccessorImpl.invoke(Object, Object[])","638","11"
"DelegatingMethodAccessorImpl.java:43 sun.reflect.NativeMethodAccessorImpl.invoke(Object, Object[])","638","12"
"NativeMethodAccessorImpl.java:62 sun.reflect.NativeMethodAccessorImpl.invoke0(Method, Object, Object[])","638","13"
"NativeMethodAccessorImpl.java (native) eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_SingleShotTime(InfraControl, ThreadParams)","638","14"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:368 eu.prismacloud.primitives.grs.bench.generated.SetupEncodingBenchmark_measureSetupEncoding_jmhTest.measureSetupEncoding_ss_jmhStub(InfraControl, RawResults, BenchmarkParams, IterationParams, ThreadParams, Blackhole, Control, int, int, SetupEncodingBenchmark_jmhType)","621","15"
"SetupEncodingBenchmark_measureSetupEncoding_jmhTest.java:412 eu.prismacloud.primitives.grs.bench.SetupEncodingBenchmark.measureSetupEncoding(Blackhole)","621","16"
"SetupEncodingBenchmark.java:128 java.math.BigInteger.nextProbablePrime()","621","17"
"BigInteger.java:820 java.math.BigInteger.primeToCertainty(int, Random)","613","18"
"BigInteger.java:876 java.math.BigInteger.passesMillerRabin(int, Random)","613","19"
"BigInteger.java:1036 java.math.BigInteger.modPow(BigInteger, BigInteger)","501","20"
