"Benchmark","Mode","Score","Unit","Param: bases","Param: l_n"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1526.472163","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1556.030418","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1441.870590","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1632.798826","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1619.542598","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1710.815607","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1528.932810","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1520.030119","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1735.140591","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1456.186358","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1552.155236","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1566.633484","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1571.601650","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1612.287292","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1609.650486","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1783.666156","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1835.445339","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1708.223210","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1666.047415","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1595.291613","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1747.152254","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1652.017570","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1552.829405","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1575.342839","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1645.639709","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1646.935813","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1841.015365","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1665.312516","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1655.202604","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1544.772381","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1681.872923","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1720.818307","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1601.727728","ms/op","3000","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1599.946318","ms/op","3000","512"
